UNIQUE_ID,PRODUCT_NAME,COMPANY,PRODUCT_TYPE,PRODUCT_CATEGORY,COST_PRICE,SELLING_PRICE,QUANTITY_DEMANDED
GSK164,A orange nailpolish,A,beauty products,nailpolish,404.9,485.88,111
GSK165,"J Raisins,100g",J,Packed Food,Dry Fruits,40,46,568
GSK166,S mosquitto repellent,S,household,repellents,218.88,288,311
GSK167,"G Red chilly, 100 g",G,foodgrains&spices,Whole Spices,19.14,29,571
GSK168,"T Rajma, 1kg",T,foodgrains&spices,cereals,153,170,464
GSK169,A sanitary napkins,A,beauty products,bodycare,107.5,129,101
GSK170,S baby milk,S,baby product,babycare,480,600,300
GSK171,"G Matar Dal, 1kG",G,foodgrains&spices,pulses(dal),81,90,528
GSK172,D Soap,D,beauty products,bodycare,95,114,353
GSK173,"E handwash, 750 ml",E,hygiene,handwash,194.56,256,555
GSK174,A Moisturizer,A,beauty products,bodycare,555.82,666.984,82
GSK175,"I Apricots,100g",I,Packed Food,Dry Fruits,133,152.95,494
GSK176,"Z Organic Cumin, 100 g",Z,Organic food,Whole Spices,73.08,126,52
GSK177,S green nailpolish,S,beauty products,nailpolish,401.6,481.92,110
GSK178,A beauty Powder,A,beauty products,bodycare,193.5,232.2,101
GSK179,"S Red chilly, 100 g",S,foodgrains&spices,Whole Spices,13.2,20,580
GSK180,"J Organic Dried Cranberries,100g",J,Organic food,Dry Fruits,284.2,490,55
GSK181,"G Organic Chola Dal, 1kg",G,Organic food,pulses(dal),113.68,196,7
GSK182,"E soft drink  coke, 1L",E,beverage,soft drinks,72.96,96,302
GSK183,"J Organic Ginger Candies,100g",J,Packed Food,Dry Fruits,130,149.5,496
GSK184,"G Tamarind, 100 g",G,foodgrains&spices,Whole Spices,32.34,49,551
GSK185,"M disinfectant liquid, 1L",M,hygiene,disinfectant,339.72,447,142
GSK186,S red lipstick,S,beauty products,lipstick,516,619.2,15
GSK187,D facewash,D,beauty products,bodycare,163.4,196.08,353
GSK188,"N strawberry flavour Cornflakes, 1kg",N,Packed Food,Dry Fruits,567,652.05,146
GSK189,"S disinfectant spray,250 ml",S,hygiene,disinfectant,173.28,228,451
GSK190,"M handwash, 500 ml",M,hygiene,handwash,195.32,257,552
GSK191,"Z Organic Figs,100g",Z,Organic food,Dry Fruits,362.96,625.8,65
GSK192,"Z Organic Groundnut, 1kg",Z,Organic food,cereals,308.56,532,22
GSK193,"I Walnuts,100g",I,Packed Food,Dry Fruits,183,210.45,454
GSK194,"I Organic Hazel Nuts,100g",I,Packed Food,Dry Fruits,235,270.25,412
GSK195,"G G roundnut, 1kG",G,foodgrains&spices,cereals,234,260,392
GSK196,"E soft drink litchi flavour, 1L",E,beverage,soft drinks,72.96,96,302
GSK197,"S Pasteurised butter, 500 g Carton",S,dairy products,butter,270,300,360
GSK198,A Toothbrush,A,hygiene,oral care,171,225,353
GSK199,"Z Organic Tamarind, 100 g",Z,Organic food,Whole Spices,56.84,98,20
GSK200,"C Front load Detergent, 2 kg",C,household,detergent,490.2,645,180
GSK201,"S Turmeric, 100 g",S,foodgrains&spices,Powdered Spices,19.8,30,570
GSK202,"J orange flavour Oats, 1kg",J,Packed Food,Dry Fruits,320,368,344
GSK203,"N mustard oil,1L",N,foodgrains&spices,edible oil,220.5,245,404
GSK204,"G Organic  Red chilly powder, 100 g",G,Organic food,Powdered Spices,56.84,98,25
GSK205,"A Chocolate Drink, 2x500 g (Multipack)",A,beverage,healthdrink,380,500,150
GSK206,"C Fabric Care Wash, 1.5kg",C,household,detergent,329.08,433,200
GSK207,"G Organic Cardamom, 100 g",G,Organic food,Whole Spices,259.84,448,2
GSK208,S pink nailpolish,S,beauty products,nailpolish,401.6,481.92,110
GSK209,"C hand sanitizer,350 ml",C,hygiene,sanitizer,136.4,220,990
GSK210,S blue nailpolish,S,beauty products,nailpolish,401.6,481.92,110
GSK211,A Hair oil,A,beauty products,haircare,417.36,500.832,122
GSK212,"Z Ginger Candies,100g",Z,Packed Food,Dry Fruits,155,178.25,476
GSK213,"A Toothpaste, 100g",A,hygiene,oral care,72.2,95,403
GSK214,"G Organic Fennel,100 g",G,Organic food,Whole Spices,48.72,84,25
GSK215,A Body Lotion,A,beauty products,bodycare,279.5,335.4,201
GSK216,"T CholT Dal, 1kg",T,foodgrains&spices,pulses(dal),108,120,504
GSK217,D 3ply mask,D,hygiene,mask,14.4,18,1020
GSK218,"J Apricots,100g",J,Packed Food,Dry Fruits,100,115,400
GSK219,"J Organic Dates,100g",J,Organic food,Dry Fruits,267.96,462,87
GSK220,"T Red chilly powder, 100 g",T,foodgrains&spices,Powdered Spices,36.3,55,545
GSK221,A pink lipstick,A,beauty products,lipstick,537.5,645,101
GSK222,"N white oil ,1L",N,foodgrains&spices,edible oil,270,300,360
GSK223,"H handwash, 750 ml",H,hygiene,handwash,191.52,252,555
GSK224,"T Tamarind, 100 g",T,foodgrains&spices,Whole Spices,29.7,45,555
GSK225,S PRO ACTIVE health drink  2x400 g Multipack,S,beverage,healthdrink,912,1200,10
GSK226,"Z Organic Cardamom, 100 g",Z,Organic food,Whole Spices,276.08,476,6
GSK227,"G chocolate flavour Cornflakes, 1kg",G,Packed Food,Dry Fruits,513,589.95,190
GSK228,C 3ply mask,C,hygiene,mask,13.6,17,1050
GSK229,"S Rajma, 1kg",S,foodgrains&spices,cereals,153,170,464
GSK230,B facewash,B,beauty products,bodycare,162.64,195.168,354
GSK231,"J Cashew Nuts,100g",J,Packed Food,Dry Fruits,150,172.5,480
GSK232,"J Organic Cashew Nuts,100g",J,Packed Food,Dry Fruits,180,207,456
GSK233,"I Organic Apricots,100g",I,Organic food,Dry Fruits,280.14,483,22
GSK234,S Body Lotion,S,beauty products,bodycare,258,309.6,220
GSK235,"S Baby Pink Shampoo, 650 ml Bottle",S,beauty products,haircare,338.96,406.752,133
GSK236,B orange lipstick,B,beauty products,lipstick,576.2,691.44,10
GSK237,S Toothbrush,S,hygiene,oral care,101.84,134,344
GSK238,"J Ginger Candies,100g",J,Packed Food,Dry Fruits,100,115,520
GSK239,S 3ply mask,S,hygiene,mask,16,20,989
GSK240,S mosquitto coil,S,household,repellents,142.88,188,311
GSK241,B aftershave,B,beauty products,bodycare,247.25,296.7,221
GSK242,"S Matar Dal, 1kg",S,foodgrains&spices,pulses(dal),72,80,536
GSK243,"I Hazel Nuts,100g",I,Packed Food,Dry Fruits,233,267.95,380
GSK244,"J Organic Apricots,100g",J,Packed Food,Dry Fruits,120,138,504
GSK245,A Masks,A,hygiene,mask,260,325,632
GSK246,"I Organic Apricots,100g",I,Packed Food,Dry Fruits,125,143.75,500
GSK247,"N orange flavour Oats, 1kg",N,Packed Food,Dry Fruits,327,376.05,338
GSK248,"Z Organic Walnuts,100g",Z,Organic food,Dry Fruits,354.84,611.8,76
GSK249,"G hand sanitizer,350 ml",G,hygiene,sanitizer,133.3,215,997
GSK250,"S soft drink orange flavour, 1L",S,beverage,soft drinks,68.4,90,310
GSK251,"J Organic Hazel Nuts,100g",J,Organic food,Dry Fruits,349.16,602,56
GSK252,"M disinfectant spray,250 ml",M,hygiene,disinfectant,172.52,227,452
GSK253,"G Pasteurised butter, 500 g Carton",G,dairy products,butter,271,311,361
GSK254,B beauty Powder,B,beauty products,bodycare,203.82,244.584,292
GSK255,A 3ply mask,A,hygiene,mask,16,20,990
GSK256,S Eyeliner,S,beauty products,eye-makeup,197.8,237.36,100
GSK257,"S baby corn, 100g",G,foodgrains&spices,grains,50,65,200
GSK258,S beauty Powder,S,beauty products,bodycare,172,206.4,120
GSK259,"T Bay Leaf, 100 g",T,foodgrains&spices,Whole Spices,23.1,35,565
GSK260,"G orange flavour Cornflakes, 1kg",G,Packed Food,Dry Fruits,523,601.45,182
GSK261,"Z Organic Cashew Nuts,100g",Z,Organic food,Dry Fruits,314.24,541.8,20
GSK262,"B hand sanitizer,350 ml",B,hygiene,sanitizer,130.2,210,990
GSK263,"B handwash, 750 ml",B,hygiene,handwash,193.8,255,555
GSK264,B mosquitto coil,B,household,repellents,117.8,155,333
GSK265,"I chocolate flavour Oats, 1kg",I,Packed Food,Dry Fruits,315,362.25,348
GSK266,B blue nailpolish,B,beauty products,nailpolish,407.62,489.144,112
GSK267,A room freshner,A,household,freshners,266,350,230
GSK268,"G Organic Rice,1kg",G,Organic food,rice,56.84,98,90
GSK269,"S soft drink litchi flavour, 1L",S,beverage,soft drinks,68.4,90,310
GSK270,"A hand sanitizer,350 ml",A,hygiene,sanitizer,124,200,980
GSK271,"T Rice,1kg",T,foodgrains&spices,rice,67.5,70.88,640
GSK272,S Body Creme,S,beauty products,bodycare,258,309.6,220
GSK273,"S Toor Dal, 1kg",S,foodgrains&spices,pulses(dal),153,170,464
GSK274,"C dishwash bar,100 g",C,household,dishwasher,47.88,63,425
GSK275,"Z Raisins,100g",Z,Packed Food,Dry Fruits,45,51.75,564
GSK276,A mosquitto spray,A,household,repellents,171,225,353
GSK277,B Masks,B,hygiene,mask,269.6,337,515
GSK278,C Soap,C,beauty products,bodycare,177.08,212.496,345
GSK279,"Z Organic jowar, 1kg",Z,Organic food,cereals,73.08,126,70
GSK280,"C handwash, 750 ml",C,hygiene,handwash,192.28,253,555
GSK281,S pet food,S,pet food,pet food,460,514,191
GSK282,"T Bajra, 1kg",T,foodgrains&spices,cereals,54,60,552
GSK283,"G Peanut , 1 kG",G,foodgrains&spices,cereals,144,160,472
GSK284,"G Cloves, 100 g",G,foodgrains&spices,Whole Spices,71.94,109,491
GSK285,B Hair gel,B,beauty products,haircare,257.14,308.568,221
GSK286,H pet food,H,pet food,pet food,460,514,190
GSK287,"G Organic Channa Dal, 1kg",G,Organic food,pulses(dal),154.28,266,2
GSK288,A green nailpolish,A,beauty products,nailpolish,404.9,485.88,50
GSK289,"G Organic Rajma, 1kg",G,Organic food,cereals,146.16,252,55
GSK290,G Organic Soyabean 1kg,G,Organic food,cereals,203,350,45
GSK291,"T Moong Dal, 1kg",T,foodgrains&spices,pulses(dal),63,70,544
GSK292,"Z Organic Moon Dal, 1kg",Z,Organic food,pulses(dal),73.08,126,262
GSK293,"Z Organic Coriander, 100 g",Z,Organic food,Powdered Spices,48.72,84,52
GSK294,S Hair oil,S,beauty products,haircare,395.6,474.72,200
GSK295,"Z Organic Cashew Nuts,100g",Z,Packed Food,Dry Fruits,187,215.05,256
GSK296,"I Organic Dates,100g",I,Packed Food,Dry Fruits,135,155.25,492
GSK297,"A Shine Shampoo, 180 ml",A,beauty products,haircare,152,182.4,300
GSK298,S Masks,S,hygiene,mask,240,300,590
GSK299,B red lipstick,B,beauty products,lipstick,576.2,691.44,10
GSK300,E pet food,E,pet food,pet food,450,500,200
GSK301,"J chocolate flavour Cornflakes, 1kg",J,Packed Food,Dry Fruits,510,586.5,192
GSK302,"G Kalonji,100 g",G,foodgrains&spices,Whole Spices,38.94,59,541
GSK303,S Chakki attS 1kg,S,foodgrains&spices,grains,36,39.6,650
GSK304,"Z Organic  Red chilly powder, 100 g",Z,Organic food,Powdered Spices,73.08,126,39
GSK305,"H Fruit Juice  Mango Flavour, 2x1 L Multipack",H,beverage,fruit juice,244.72,322,255
GSK306,B Moisturizer,B,beauty products,bodycare,558.79,670.548,80
GSK307,Z Organic Flour 1kg,Z,Organic food,Flour,64.96,112,78
GSK308,"G Organic Cloves, 100 g",G,Organic food,Whole Spices,89.32,154,58
GSK309,A bodyspray,A,beauty products,bodycare,365.5,438.6,201
GSK310,"Z Organic Almonds,100g",Z,Packed Food,Dry Fruits,177,203.55,458
GSK311,"Z Organic Raisins,100g",Z,Packed Food,Dry Fruits,77,88.55,538
GSK312,"M disinfectant spray,250 ml",M,hygiene,disinfectant,172.52,227,452
GSK313,"G jowar, 1kG",G,foodgrains&spices,cereals,36,40,568
GSK314,"S Corn flour,100g",S,foodgrains&spices,corn flour,20,38,125
GSK315,"S Dairy Whitener , 1 kg Souch",S,dairy products,milk,540,600,120
GSK316,A Health &Nutrition  Drink 500 g Carton,A,beverage,healthdrink,380,500,150
GSK317,"S soft drink  coke, 1L",S,beverage,soft drinks,68.4,90,310
GSK318,"G strawberry flavour Cornflakes, 1kg",G,Packed Food,Dry Fruits,563,647.45,190
GSK319,"S CheesS  Slices, 100 g Souch",E,dairy products,cheese,90,100,520
GSK320,"J Organic Dried Cranberries,100g",J,Packed Food,Dry Fruits,150,172.5,480
GSK321,"G Bajra, 1kG",G,foodgrains&spices,cereals,63,70,544
GSK322,"S Nutrition & Health Drink Royale  Chocolate, 1 kg Carton",S,beverage,healthdrink,531.24,699,30
GSK323,S Kajal,S,beauty products,eye-makeup,172,206.4,120
GSK324,"T Groundnut, 1kg",T,foodgrains&spices,cereals,216,240,408
GSK325,A Body Creme,A,beauty products,bodycare,279.5,335.4,201
GSK326,"J Organic Cashew Nuts,100g",J,Organic food,Dry Fruits,308.56,532,32
GSK327,"T Fennel,100 g",T,foodgrains&spices,Whole Spices,29.7,45,555
GSK328,"M handwash, 750 ml",M,hygiene,handwash,195.32,257,552
GSK329,S bodyspray,S,beauty products,bodycare,387,464.4,180
GSK330,B Foundation,B,beauty products,bodycare,548.9,658.68,91
GSK331,D Bodywash,D,beauty products,bodycare,239.4,287.28,253
GSK332,"I Organic Figs,100g",I,Packed Food,Dry Fruits,225,258.75,420
GSK333,B pink nailpolish,B,beauty products,nailpolish,407.62,489.144,112
GSK334,"J Dates,100g",J,Packed Food,Dry Fruits,100,115,520
GSK335,"S Masoor Dal, 1kg",S,foodgrains&spices,pulses(dal),108,120,504
GSK336,B 3ply mask,B,hygiene,mask,16,20,971
GSK337,"Z Organic Kalonji,100 g",Z,Organic food,Whole Spices,73.08,126,29
GSK338,"G Organic Toor Dal, 1kg",G,Organic food,pulses(dal),146.16,252,30
GSK339,"Z Organic Rajma, 1kg",Z,Organic food,cereals,154.28,266,25
GSK340,"N olive oil,1L",N,foodgrains&spices,edible oil,630,700,40
GSK341,"I orange flavour Oats, 1kg",I,Packed Food,Dry Fruits,325,373.75,340
GSK342,"E soft drink orange flavour, 1L",E,beverage,soft drinks,72.96,96,302
GSK343,"G Organic Red chilly, 100 g",G,Organic food,Whole Spices,32.48,56,20
GSK344,"Z Hazel Nuts,100g",Z,Packed Food,Dry Fruits,255,293.25,396
GSK345,"Z Organic Apricots,100g",Z,Organic food,Dry Fruits,281.76,485.8,94
GSK346,"N salt,1kg",N,foodgrains&spices,sugar&salt,13.2,13.86,380
GSK347,"J Organic Apricots,100g",J,Organic food,Dry Fruits,276.08,476,67
GSK348,"J Dried Cranberries,100g",J,Packed Food,Dry Fruits,120,138,504
GSK349,B brown nailpolish,B,beauty products,nailpolish,407.62,489.144,112
GSK350,"G Organic Groundnut, 1kg",G,Organic food,cereals,219.24,378,35
GSK351,S Hair gel,S,beauty products,haircare,237.36,284.832,212
